# label=honeycomb-i9-12900F-php8.4-REBUILD-CONTROL-n300k
# n=300000
# rounds=7
# loadavg_before=1.06
# loadavg_after-round-0=1.04
# loadavg_after-round-1=1.03
# loadavg_after-round-2=1.03
# loadavg_after-round-3=1.02
# loadavg_after-round-4=1.02
# loadavg_after-round-5=1.01
# loadavg_after-round-6=1.01
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,rawint.getr,300000,3,serial,397.762,300000
pre,0,rawint.getr,300000,4,serial,394.345,300000
pre,0,rawint.getr,300000,5,serial,393.812,300000
pre,0,rawint.getr,300000,6,serial,394.006,300000
pre,0,rawint.hasr,300000,0,serial,281.197,300000
pre,0,rawint.hasr,300000,1,serial,280.217,300000
pre,0,rawint.hasr,300000,2,serial,281.771,300000
pre,0,rawint.hasr,300000,3,serial,281.343,300000
pre,0,rawint.hasr,300000,4,serial,279.450,300000
pre,0,rawint.hasr,300000,5,serial,279.429,300000
pre,0,rawint.hasr,300000,6,serial,280.664,300000
pre,0,rawint.keys,300000,0,serial,10.535,300000
pre,0,rawint.keys,300000,1,serial,10.491,300000
pre,0,rawint.keys,300000,2,serial,10.443,300000
pre,0,rawint.keys,300000,3,serial,10.552,300000
pre,0,rawint.keys,300000,4,serial,10.570,300000
pre,0,rawint.keys,300000,5,serial,10.533,300000
pre,0,rawint.keys,300000,6,serial,10.490,300000
pre,0,rawint.delpfx,300000,0,serial,12.094,300000
pre,0,rawint.delpfx,300000,1,serial,11.994,300000
pre,0,rawint.delpfx,300000,2,serial,11.981,300000
pre,0,rawint.delpfx,300000,3,serial,12.026,300000
pre,0,rawint.delpfx,300000,4,serial,11.983,300000
pre,0,rawint.delpfx,300000,5,serial,11.962,300000
pre,0,rawint.delpfx,300000,6,serial,12.108,300000
pre,0,rawint.del,300000,0,serial,131.371,300000
pre,0,rawint.del,300000,1,serial,131.169,300000
pre,0,rawint.del,300000,2,serial,130.929,300000
pre,0,rawint.del,300000,3,serial,131.001,300000
pre,0,rawint.del,300000,4,serial,131.656,300000
pre,0,rawint.del,300000,5,serial,131.322,300000
pre,0,rawint.del,300000,6,serial,131.821,300000
pre,0,jser.set,300000,0,serial,71.852,300000
pre,0,jser.set,300000,1,serial,72.215,300000
pre,0,jser.set,300000,2,serial,72.183,300000
pre,0,jser.set,300000,3,serial,71.741,300000
pre,0,jser.set,300000,4,serial,71.675,300000
pre,0,jser.set,300000,5,serial,71.462,300000
pre,0,jser.set,300000,6,serial,72.043,300000
pre,0,jser.get,300000,0,serial,107.097,300000
pre,0,jser.get,300000,1,serial,107.179,300000
pre,0,jser.get,300000,2,serial,107.239,300000
pre,0,jser.get,300000,3,serial,107.301,300000
pre,0,jser.get,300000,4,serial,107.766,300000
pre,0,jser.get,300000,5,serial,107.517,300000
pre,0,jser.get,300000,6,serial,107.944,300000
pre,0,jser.getr,300000,0,serial,329.182,300000
pre,0,jser.getr,300000,1,serial,329.231,300000
pre,0,jser.getr,300000,2,serial,332.867,300000
pre,0,jser.getr,300000,3,serial,328.697,300000
pre,0,jser.getr,300000,4,serial,329.294,300000
pre,0,jser.getr,300000,5,serial,329.354,300000
pre,0,jser.getr,300000,6,serial,328.182,300000
pre,0,jser.hasr,300000,0,serial,226.936,300000
pre,0,jser.hasr,300000,1,serial,226.297,300000
pre,0,jser.hasr,300000,2,serial,228.286,300000
pre,0,jser.hasr,300000,3,serial,227.532,300000
pre,0,jser.hasr,300000,4,serial,226.043,300000
pre,0,jser.hasr,300000,5,serial,226.664,300000
pre,0,jser.hasr,300000,6,serial,226.500,300000
pre,0,jser.keys,300000,0,serial,8.216,300000
pre,0,jser.keys,300000,1,serial,8.217,300000
pre,0,jser.keys,300000,2,serial,8.257,300000
pre,0,jser.keys,300000,3,serial,8.335,300000
pre,0,jser.keys,300000,4,serial,8.236,300000
pre,0,jser.keys,300000,5,serial,8.294,300000
pre,0,jser.keys,300000,6,serial,8.226,300000
pre,0,jser.delpfx,300000,0,serial,11.820,300000
pre,0,jser.delpfx,300000,1,serial,11.734,300000
pre,0,jser.delpfx,300000,2,serial,11.679,300000
pre,0,jser.delpfx,300000,3,serial,11.747,300000
pre,0,jser.delpfx,300000,4,serial,11.759,300000
pre,0,jser.delpfx,300000,5,serial,11.715,300000
pre,0,jser.delpfx,300000,6,serial,11.774,300000
pre,0,jser.del,300000,0,serial,92.081,300000
pre,0,jser.del,300000,1,serial,92.523,300000
pre,0,jser.del,300000,2,serial,92.397,300000
pre,0,jser.del,300000,3,serial,92.019,300000
pre,0,jser.del,300000,4,serial,92.410,300000
pre,0,jser.del,300000,5,serial,92.177,300000
pre,0,jser.del,300000,6,serial,92.379,300000
pre,0,jarr.set,300000,0,serial,72.645,300000
pre,0,jarr.set,300000,1,serial,72.898,300000
pre,0,jarr.set,300000,2,serial,72.414,300000
pre,0,jarr.set,300000,3,serial,72.792,300000
pre,0,jarr.set,300000,4,serial,71.991,300000
pre,0,jarr.set,300000,5,serial,72.072,300000
pre,0,jarr.set,300000,6,serial,72.785,300000
pre,0,jarr.get,300000,0,serial,304.102,300000
pre,0,jarr.get,300000,1,serial,305.038,300000
pre,0,jarr.get,300000,2,serial,304.636,300000
pre,0,jarr.get,300000,3,serial,305.284,300000
pre,0,jarr.get,300000,4,serial,303.930,300000
pre,0,jarr.get,300000,5,serial,305.201,300000
pre,0,jarr.get,300000,6,serial,305.593,300000
pre,0,jarr.getr,300000,0,serial,569.761,300000
pre,0,jarr.getr,300000,1,serial,568.972,300000
pre,0,jarr.getr,300000,2,serial,572.328,300000
pre,0,jarr.getr,300000,3,serial,569.923,300000
pre,0,jarr.getr,300000,4,serial,567.288,300000
pre,0,jarr.getr,300000,5,serial,569.125,300000
pre,0,jarr.getr,300000,6,serial,567.788,300000
pre,0,jarr.hasr,300000,0,serial,229.159,300000
pre,0,jarr.hasr,300000,1,serial,226.912,300000
pre,0,jarr.hasr,300000,2,serial,228.463,300000
pre,0,jarr.hasr,300000,3,serial,226.880,300000
pre,0,jarr.hasr,300000,4,serial,227.321,300000
pre,0,jarr.hasr,300000,5,serial,227.319,300000
pre,0,jarr.hasr,300000,6,serial,227.703,300000
pre,0,jarr.keys,300000,0,serial,8.277,300000
pre,0,jarr.keys,300000,1,serial,8.196,300000
pre,0,jarr.keys,300000,2,serial,8.239,300000
pre,0,jarr.keys,300000,3,serial,8.151,300000
pre,0,jarr.keys,300000,4,serial,8.244,300000
pre,0,jarr.keys,300000,5,serial,8.289,300000
pre,0,jarr.keys,300000,6,serial,8.370,300000
pre,0,jarr.delpfx,300000,0,serial,12.904,300000
pre,0,jarr.delpfx,300000,1,serial,12.838,300000
pre,0,jarr.delpfx,300000,2,serial,12.879,300000
pre,0,jarr.delpfx,300000,3,serial,12.825,300000
pre,0,jarr.delpfx,300000,4,serial,12.791,300000
pre,0,jarr.delpfx,300000,5,serial,12.806,300000
pre,0,jarr.delpfx,300000,6,serial,12.776,300000
pre,0,jarr.del,300000,0,serial,105.590,300000
pre,0,jarr.del,300000,1,serial,104.819,300000
pre,0,jarr.del,300000,2,serial,105.238,300000
pre,0,jarr.del,300000,3,serial,105.021,300000
pre,0,jarr.del,300000,4,serial,105.037,300000
pre,0,jarr.del,300000,5,serial,104.865,300000
pre,0,jarr.del,300000,6,serial,105.549,300000
pre,0,jint.set,300000,0,serial,70.915,300000
pre,0,jint.set,300000,1,serial,72.011,300000
pre,0,jint.set,300000,2,serial,71.939,300000
pre,0,jint.set,300000,3,serial,71.394,300000
pre,0,jint.set,300000,4,serial,71.412,300000
pre,0,jint.set,300000,5,serial,70.975,300000
pre,0,jint.set,300000,6,serial,71.403,300000
pre,0,jint.get,300000,0,serial,108.255,300000
pre,0,jint.get,300000,1,serial,107.115,300000
pre,0,jint.get,300000,2,serial,107.814,300000
pre,0,jint.get,300000,3,serial,107.394,300000
pre,0,jint.get,300000,4,serial,107.972,300000
pre,0,jint.get,300000,5,serial,107.240,300000
pre,0,jint.get,300000,6,serial,107.875,300000
pre,0,jint.getr,300000,0,serial,313.596,300000
pre,0,jint.getr,300000,1,serial,313.251,300000
pre,0,jint.getr,300000,2,serial,311.054,300000
pre,0,jint.getr,300000,3,serial,308.696,300000
pre,0,jint.getr,300000,4,serial,307.991,300000
pre,0,jint.getr,300000,5,serial,307.561,300000
pre,0,jint.getr,300000,6,serial,307.427,300000
pre,0,jint.hasr,300000,0,serial,227.077,300000
pre,0,jint.hasr,300000,1,serial,226.071,300000
pre,0,jint.hasr,300000,2,serial,228.214,300000
pre,0,jint.hasr,300000,3,serial,227.217,300000
pre,0,jint.hasr,300000,4,serial,226.964,300000
pre,0,jint.hasr,300000,5,serial,226.446,300000
pre,0,jint.hasr,300000,6,serial,226.631,300000
pre,0,jint.keys,300000,0,serial,8.302,300000
pre,0,jint.keys,300000,1,serial,8.219,300000
pre,0,jint.keys,300000,2,serial,8.282,300000
pre,0,jint.keys,300000,3,serial,8.323,300000
pre,0,jint.keys,300000,4,serial,8.294,300000
pre,0,jint.keys,300000,5,serial,8.248,300000
pre,0,jint.keys,300000,6,serial,8.283,300000
pre,0,jint.delpfx,300000,0,serial,11.622,300000
pre,0,jint.delpfx,300000,1,serial,11.619,300000
pre,0,jint.delpfx,300000,2,serial,11.628,300000
pre,0,jint.delpfx,300000,3,serial,11.668,300000
pre,0,jint.delpfx,300000,4,serial,11.565,300000
pre,0,jint.delpfx,300000,5,serial,11.584,300000
pre,0,jint.delpfx,300000,6,serial,11.975,300000
pre,0,jint.del,300000,0,serial,91.368,300000
pre,0,jint.del,300000,1,serial,91.346,300000
pre,0,jint.del,300000,2,serial,91.768,300000
pre,0,jint.del,300000,3,serial,91.149,300000
pre,0,jint.del,300000,4,serial,91.326,300000
pre,0,jint.del,300000,5,serial,91.237,300000
pre,0,jint.del,300000,6,serial,91.474,300000
pre,0,ctl.set,300000,0,serial,98.722,300000
pre,0,ctl.set,300000,1,serial,98.879,300000
pre,0,ctl.set,300000,2,serial,99.682,300000
pre,0,ctl.set,300000,3,serial,99.017,300000
pre,0,ctl.set,300000,4,serial,97.927,300000
pre,0,ctl.set,300000,5,serial,98.521,300000
pre,0,ctl.set,300000,6,serial,102.574,300000
pre,0,ctl.get,300000,0,serial,103.561,300000
pre,0,ctl.get,300000,1,serial,103.920,300000
pre,0,ctl.get,300000,2,serial,103.840,300000
pre,0,ctl.get,300000,3,serial,103.669,300000
pre,0,ctl.get,300000,4,serial,103.491,300000
pre,0,ctl.get,300000,5,serial,103.803,300000
pre,0,ctl.get,300000,6,serial,103.930,300000
pre,0,ctl.getr,300000,0,serial,346.627,300000
pre,0,ctl.getr,300000,1,serial,346.372,300000
pre,0,ctl.getr,300000,2,serial,346.157,300000
pre,0,ctl.getr,300000,3,serial,344.240,300000
pre,0,ctl.getr,300000,4,serial,345.460,300000
pre,0,ctl.getr,300000,5,serial,346.311,300000
pre,0,ctl.getr,300000,6,serial,346.985,300000
pre,0,ctl.hasr,300000,0,serial,59.200,300000
pre,0,ctl.hasr,300000,1,serial,58.670,300000
pre,0,ctl.hasr,300000,2,serial,59.190,300000
pre,0,ctl.hasr,300000,3,serial,60.124,300000
pre,0,ctl.hasr,300000,4,serial,58.499,300000
pre,0,ctl.hasr,300000,5,serial,58.579,300000
pre,0,ctl.hasr,300000,6,serial,58.716,300000
pre,0,ctl.del,300000,0,serial,17.345,300000
