# label=honeycomb-DECOMPOSITION-linkage-vs-distro-flags-n300k
# n=300000
# rounds=7
# loadavg_before=0.55
# loadavg_after-round-0=0.55
# loadavg_after-round-1=0.65
# loadavg_after-round-2=0.7
# loadavg_after-round-3=0.77
# loadavg_after-round-4=0.81
# loadavg_after-round-5=0.85
# loadavg_after-round-6=0.87
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,rawint.getr,300000,3,serial,380.351,300000
pre,0,rawint.getr,300000,4,serial,382.815,300000
pre,0,rawint.getr,300000,5,serial,384.523,300000
pre,0,rawint.getr,300000,6,serial,379.618,300000
pre,0,rawint.hasr,300000,0,serial,274.888,300000
pre,0,rawint.hasr,300000,1,serial,274.984,300000
pre,0,rawint.hasr,300000,2,serial,275.082,300000
pre,0,rawint.hasr,300000,3,serial,275.625,300000
pre,0,rawint.hasr,300000,4,serial,276.517,300000
pre,0,rawint.hasr,300000,5,serial,275.190,300000
pre,0,rawint.hasr,300000,6,serial,275.142,300000
pre,0,rawint.keys,300000,0,serial,11.532,300000
pre,0,rawint.keys,300000,1,serial,11.557,300000
pre,0,rawint.keys,300000,2,serial,11.504,300000
pre,0,rawint.keys,300000,3,serial,11.469,300000
pre,0,rawint.keys,300000,4,serial,12.548,300000
pre,0,rawint.keys,300000,5,serial,11.584,300000
pre,0,rawint.keys,300000,6,serial,11.386,300000
pre,0,rawint.delpfx,300000,0,serial,13.389,300000
pre,0,rawint.delpfx,300000,1,serial,13.503,300000
pre,0,rawint.delpfx,300000,2,serial,13.453,300000
pre,0,rawint.delpfx,300000,3,serial,13.609,300000
pre,0,rawint.delpfx,300000,4,serial,15.910,300000
pre,0,rawint.delpfx,300000,5,serial,13.491,300000
pre,0,rawint.delpfx,300000,6,serial,13.457,300000
pre,0,rawint.del,300000,0,serial,136.484,300000
pre,0,rawint.del,300000,1,serial,137.007,300000
pre,0,rawint.del,300000,2,serial,136.335,300000
pre,0,rawint.del,300000,3,serial,136.799,300000
pre,0,rawint.del,300000,4,serial,136.653,300000
pre,0,rawint.del,300000,5,serial,136.899,300000
pre,0,rawint.del,300000,6,serial,136.456,300000
pre,0,jint.set,300000,0,serial,76.549,300000
pre,0,jint.set,300000,1,serial,76.313,300000
pre,0,jint.set,300000,2,serial,76.370,300000
pre,0,jint.set,300000,3,serial,76.328,300000
pre,0,jint.set,300000,4,serial,76.443,300000
pre,0,jint.set,300000,5,serial,75.971,300000
pre,0,jint.set,300000,6,serial,76.110,300000
pre,0,jint.get,300000,0,serial,118.499,300000
pre,0,jint.get,300000,1,serial,118.113,300000
pre,0,jint.get,300000,2,serial,117.465,300000
pre,0,jint.get,300000,3,serial,118.127,300000
pre,0,jint.get,300000,4,serial,118.458,300000
pre,0,jint.get,300000,5,serial,118.421,300000
pre,0,jint.get,300000,6,serial,118.086,300000
pre,0,jint.getr,300000,0,serial,318.151,300000
pre,0,jint.getr,300000,1,serial,325.162,300000
pre,0,jint.getr,300000,2,serial,319.038,300000
pre,0,jint.getr,300000,3,serial,319.107,300000
pre,0,jint.getr,300000,4,serial,319.104,300000
pre,0,jint.getr,300000,5,serial,318.701,300000
pre,0,jint.getr,300000,6,serial,318.541,300000
pre,0,jint.hasr,300000,0,serial,229.682,300000
pre,0,jint.hasr,300000,1,serial,229.617,300000
pre,0,jint.hasr,300000,2,serial,229.490,300000
pre,0,jint.hasr,300000,3,serial,229.948,300000
pre,0,jint.hasr,300000,4,serial,229.889,300000
pre,0,jint.hasr,300000,5,serial,230.103,300000
pre,0,jint.hasr,300000,6,serial,229.333,300000
pre,0,jint.keys,300000,0,serial,8.948,300000
pre,0,jint.keys,300000,1,serial,9.066,300000
pre,0,jint.keys,300000,2,serial,9.037,300000
